Student_Name,College_Name,Stream,Year_of_Study,AI_Tools_Used,Daily_Usage_Hours,Use_Cases,Trust_in_AI_Tools,Impact_on_Grades,Do_Professors_Allow_Use,Preferred_AI_Tool,Awareness_Level,Willing_to_Pay_for_Access,State,Device_Used,Internet_Access,lsa,Avg_Regional_Speed_Mbps,Subjective_Access_Score,Infrastructure_Efficiency
Aarav,Indian Institute of Information Technology ,Engineering,4,Gemini,0.9,"Assignments, Coding Help",2,2,No,Copilot,9,Yes,Uttar pradesh,Mobile,Poor,UP West,8.9968359375,1,8.9968359375
Vivaan,"Government Ram Bhajan Rai NES College, Jashpur ",Commerce,2,ChatGPT,3.4,Learning new topics,3,-3,Yes,Other,6,No,Chhattisgarh,Laptop,Poor,Madhya Pradesh,8.966440054086538,1,8.966440054086538
Aditya,Dolphin PG Institute of BioMedical & Natural ,Science,2,Copilot,3.6,"MCQ Practice, Projects",5,0,No,Gemini,1,No,Uttarakhand,Tablet,Poor,UP West,8.9968359375,1,8.9968359375
Vihaan,Shaheed Rajguru College of Applied Sciences for ,Arts,2,Copilot,2.9,Content Writing,5,2,Yes,Gemini,5,No,Delhi ncr,Laptop,High,Delhi,15.297678629557291,3,45.893035888671875
Arjun,Roorkee College of Engineering ,Science,1,Gemini,0.9,"Doubt Solving, Resume Writing",1,3,Yes,Other,8,Yes,Uttarakhand,Laptop,Medium,UP West,8.9968359375,2,17.993671875
Sai,Kanya Mahavidyalaya ,Commerce,2,Gemini,0.8,"Doubt Solving, Resume Writing",2,-2,Yes,Gemini,7,No,Punjab,Laptop,High,Punjab,14.360778216019417,3,43.08233464805825
Reyansh,Shivalik Institute of Paramedical Technology ,Medical,1,"ChatGPT, Gemini, Copilot",2.2,"Assignments, Coding Help",1,-1,Yes,Other,2,No,Chandigarh,Mobile,Medium,Punjab,14.360778216019417,2,28.721556432038835
Ayaan,"Alpha College of Engineering & Technology, Pondicherry ",Engineering,4,"ChatGPT, Copilot",2.4,"Exam Prep, Notes",2,-2,Yes,Copilot,5,Yes,Puducherry,Mobile,High,Tamil Nadu,8.37137784090909,3,25.114133522727272
Krishna,"Jaipur Engineering College and Research Centre, Jaipur ",Engineering,4,"ChatGPT, Copilot",2.1,"MCQ Practice, Projects",2,-2,Yes,Copilot,8,Yes,Rajasthan,Laptop,Poor,Rajasthan,13.64073799070248,1,13.64073799070248
Ishaan,"ICFAI University, Shillong ",Commerce,2,Gemini,1.4,Content Writing,3,-2,No,Gemini,3,Yes,Meghalaya,Laptop,High,North East,10.2730712890625,3,30.8192138671875
Rudra,Kanchi Mamunivar Centre for Post Graduate Studies ,Arts,2,Copilot,1.0,Learning new topics,5,1,No,Copilot,10,Yes,Puducherry,Tablet,High,Tamil Nadu,8.37137784090909,3,25.114133522727272
Dhruv,Jharkhand Rai University ,Medical,2,ChatGPT,1.2,"Exam Prep, Notes",4,-2,Yes,Other,7,Yes,Jharkhand,Laptop,Poor,Bihar,29.503159466911764,1,29.503159466911764
Kabir,"Christ Church College -[CCC], Kanpur ",Arts,3,"ChatGPT, Gemini, Copilot",4.4,"Assignments, Coding Help",3,-3,Yes,Copilot,9,Yes,Uttar pradesh,Tablet,High,UP West,8.9968359375,3,26.9905078125
Atharv,Neville Wadia Institute of Management Studies and ,Management,2,"Gemini, Midjourney",3.6,"Exam Prep, Notes",1,3,No,Copilot,10,Yes,Maharashtra,Tablet,Poor,Maharashtra,19.392515373995984,1,19.392515373995984
Om,Indian Institute of Technology Madras ,Engineering,3,"ChatGPT, Gemini, Copilot",4.1,"MCQ Practice, Projects",2,3,Yes,Gemini,7,No,Tamil nadu,Laptop,Poor,Tamil Nadu,8.37137784090909,1,8.37137784090909
Anaya,"United College, Chandel ",Arts,2,ChatGPT,4.3,Content Writing,4,-2,No,Copilot,1,Yes,Manipur,Mobile,Poor,North East,10.2730712890625,1,10.2730712890625
Siya,Shivalik Institute of Paramedical Technology ,Management,3,ChatGPT,2.5,Learning new topics,2,-2,No,ChatGPT,5,No,Chandigarh,Laptop,Medium,Punjab,14.360778216019417,2,28.721556432038835
Diya,Chandigarh University ,Law,2,"Gemini, Midjourney",3.2,Content Writing,2,-3,No,Copilot,9,Yes,Punjab,Mobile,Medium,Punjab,14.360778216019417,2,28.721556432038835
Myra,Apex Professional University ,Management,3,ChatGPT,3.7,"Doubt Solving, Resume Writing",3,1,Yes,ChatGPT,10,Yes,Arunachal pradesh,Tablet,Medium,North East,10.2730712890625,2,20.546142578125
Aadhya,Madhav University ,Pharmacy,1,Gemini,4.4,"MCQ Practice, Projects",1,2,No,Copilot,4,No,Rajasthan,Mobile,High,Rajasthan,13.64073799070248,3,40.92221397210744
Riya,National Institute of Fashion Technology ,Management,2,"ChatGPT, Gemini, Copilot",3.8,"MCQ Practice, Projects",5,-2,No,Copilot,4,No,Meghalaya,Laptop,High,North East,10.2730712890625,3,30.8192138671875
Pari,King George's Medical University ,Medical,2,"ChatGPT, Gemini, Copilot",4.2,"Doubt Solving, Resume Writing",3,-2,Yes,ChatGPT,7,Yes,Uttar pradesh,Laptop,Poor,UP West,8.9968359375,1,8.9968359375
Anika,"Loyola Academy Degree and PG College, Secunderabad ",Agriculture,1,ChatGPT,3.4,"MCQ Practice, Projects",1,0,Yes,Copilot,1,Yes,Telangana,Laptop,High,Andhra Pradesh,13.047758214613971,3,39.14327464384191
Ira,Royal College of Pharmacy & Health Sciences ,Pharmacy,3,"Gemini, Midjourney",4.4,"Assignments, Coding Help",2,0,No,Other,3,Yes,Orissa,Tablet,Medium,Orissa,10.206166294642857,2,20.412332589285715
Meera,Nalanda Open University ,Arts,4,"ChatGPT, Gemini, Copilot",1.6,Learning new topics,1,1,Yes,ChatGPT,8,Yes,Bihar,Laptop,Medium,Bihar,29.503159466911764,2,59.00631893382353
Saanvi,"Ramnarain Ruia Autonomous College, Mumbai ",Commerce,3,"Gemini, Midjourney",4.4,Content Writing,5,0,Yes,Gemini,5,No,Maharashtra,Laptop,Poor,Maharashtra,19.392515373995984,1,19.392515373995984
Navya,Galgotias University ,Agriculture,3,ChatGPT,3.1,"Doubt Solving, Resume Writing",3,-1,No,ChatGPT,4,Yes,Delhi ncr,Laptop,High,Delhi,15.297678629557291,3,45.893035888671875
Aarohi,Atal Bihari Vajpayee Hindi Vishwavidyalaya ,Science,1,Gemini,0.5,"MCQ Practice, Projects",5,-2,No,ChatGPT,3,No,Madhya pradesh,Laptop,High,Madhya Pradesh,8.966440054086538,3,26.899320162259613
Prisha,"Government Mahaprabhu Vallabhacharya Post Graduate College, Mahasamund ",Science,4,"ChatGPT, Gemini, Copilot",1.8,Content Writing,1,-3,Yes,Other,10,No,Chhattisgarh,Laptop,Poor,Madhya Pradesh,8.966440054086538,1,8.966440054086538
Ishita,"The Global University, Itanagar ",Commerce,3,Gemini,2.4,"MCQ Practice, Projects",1,-3,Yes,Copilot,8,No,Arunachal pradesh,Laptop,Poor,North East,10.2730712890625,1,10.2730712890625
Rakhi,"GGDSD College, Palampur ",Arts,3,"ChatGPT, Copilot",3.2,"Exam Prep, Notes",2,0,Yes,Copilot,5,No,Himachal pradesh,Mobile,High,Himachal Pradesh,8.273878528225806,3,24.821635584677416
Ramya,Shivaji University ,Law,4,"ChatGPT, Gemini, Copilot",3.1,"Doubt Solving, Resume Writing",1,2,Yes,Copilot,9,No,Maharashtra,Mobile,Poor,Maharashtra,19.392515373995984,1,19.392515373995984
Sneha,"Swami Keshwanand Rajasthan Agricultural University, Bikaner ",Science,2,"Gemini, Midjourney",0.7,"Assignments, Coding Help",3,0,Yes,Other,2,No,Rajasthan,Mobile,High,Rajasthan,13.64073799070248,3,40.92221397210744
Divya,Vaishali Institute of Business and Rural Management ,Management,3,"Gemini, Midjourney",2.6,Learning new topics,3,-2,No,ChatGPT,10,No,Bihar,Tablet,Poor,Bihar,29.503159466911764,1,29.503159466911764
Neha,Panjab University ,Agriculture,1,Copilot,4.1,"Assignments, Coding Help",5,1,Yes,Copilot,8,No,Punjab,Mobile,Medium,Punjab,14.360778216019417,2,28.721556432038835
Pooja,Hyderabad School of Business ,Management,2,"ChatGPT, Copilot",3.2,Learning new topics,1,-1,Yes,Copilot,1,Yes,Telangana,Mobile,Poor,Andhra Pradesh,13.047758214613971,1,13.047758214613971
